,Borough,2006-01,2006-02,2006-03,2006-04,2006-05,2006-06,2006-07,2006-08,2006-09,2006-10,2006-11,2006-12,2007-01,2007-02,2007-03,2007-04,2007-05,2007-06,2007-07,2007-08,2007-09,2007-10,2007-11,2007-12,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12
1,City of London,316121.4492,323653.2874,325106.3667,319579.8523,313125.8007,304976.9241,338307.1373,358438.1038,377545.3976,365176.7441,354438.3692,365755.2593,360923.4534,399437.2419,403144.195,419005.3235,411183.3015,436079.0956,467348.2288,473887.0942,463524.8133,456421.722,450830.607,464276.6144,471860.7928,453706.7078,404849.3342,382570.8625,389732.9492,420665.0706,442351.7377,472396.6233,466082.0963,440011.7766,396155.0212,387178.1834,400316.7398,393361.4158,399220.2019,345338.4591,373504.0922,348750.6391,379109.4821,360544.6058,391137.7583,399867.2876,397909.4409,411954.5715,464435.7291,490525.365,498240.5051,458245.8825,454928.3068,428119.8388,420233.7714,442596.574,455289.9049,456016.1744,430304.5818,445015.7572,442413.0072,504009.3269,475353.0397,516318.806,459477.3025,466524.8789,420435.3818,421485.5504,436018.6013,450033.695,478808.8757,496290.8438,525722.7477,510537.1056,527408.2992,524290.4398,573532.3969,542517.6849,543036.879,496168.1797,525970.5038,521769.3586,521448.2564,491528.7635,465451.2915,499206.6764,527874.0656,590684.7463,578036.862,662700.2615,651116.0608,645847.3779,529618.7799,527374.2065,546793.2307,615401.0136,625001.0388,648359.4337,654629.3728,665262.1579,682662.5126,697309.3487,724282.3431,761543.7308,753704.1253,763368.662,762734.8047,773768.3169,783666.5696,760549.5291,767206.6402,729148.105,762814.7215,776509.0356,779096.6415,760243.0523,767464.2986,781357.7431,741727.3306,713252.5637,736788.4978,765643.562,794754.2788,805319.9631,845579.4697,907964.6589,911826.8147,848269.375,780527.2848,792664.2518,818662.7343,811785.7228,820304.9815,820665.4429,853943.0219,906145.5714,939911.6473,930978.6255,854797.5216,847422.4928,836674.3161,818477.1026,790158.901,778001.529,802128.8528,783266.4909,740799.1248,732350.8384,796398.6101,789277.7794,809696.9666,784143.71757,800874.52826,802869.06631,764206.7363,811694.19218,865636.1043,894519.909,853451.0753,738796.7242,719217.5584,761525.8718,756407.0179,813769.5901,810454.644,826227.062,772324.8186,757730.1653,773785.6629,800015.5778,836241.2841,920443.9389,918209.3301,882872.1038,786626.6665,827658.5167,798499.1646,836807.0518,769391.7847,801999.0466,758077.3311,727871.6064,725634.7478,748815.166,756082.0292,773492.4577,948728.5894,953551.3983,954883.5623,793389.303,799674.7093,809376.0744,827267.0838,847354.64125,823597.83378,811845.5214,795968.1538,814502.7842,820757.0426,865647.8228,865561.3351,884896.7212,952551.4913,930424.7317
2,Barking & Dagenham,162339.9562,163023.9489,162004.3844,164203.9629,166048.3794,169013.0192,170203.9708,171177.1072,170250.5241,170091.2864,171598.1613,174285.4099,176577.4365,177050.7197,179011.267,179846.6376,181828.37,183476.4438,185928.699,187337.0586,190223.2283,191576.4791,193603.0318,192458.3172,194235.4516,193698.8139,196257.3656,192932.1292,193573.4985,190726.5908,191066.9391,189099.8683,184658.623,177920.9451,174390.2634,169721.9009,166798.1275,161878.8445,156810.9823,152209.1849,148432.876,150193.6379,154105.1492,156272.1959,155826.793,156674.1762,157272.1998,160888.5891,162905.2109,163022.5868,162831.3359,162755.9259,164902.6725,167147.5106,168660.5929,170216.2782,170252.9043,170298.2577,169249.8164,166485.3712,163821.2893,162484.0392,161659.7392,162401.3434,162703.4802,162303.742,160895.3769,163476.9496,166864.7384,167492.9314,164846.795,162631.3061,163899.0205,163607.2164,164437.516,164731.0378,166502.977,168049.0909,168007.1536,166179.7039,165304.4801,165327.7005,166508.0177,167813.0248,167918.7606,169460.7477,169413.8449,169967.7089,170475.2498,172651.7573,174604.2766,173720.4531,174761.46,176820.5648,181909.7302,183098.9453,184883.6549,185428.4514,189876.9104,193076.6982,196620.3956,198039.7703,201936.1166,204974.0418,210412.1357,213902.7879,216631.0863,218284.7039,220070.151,222918.5506,222416.942,222176.3269,221825.7372,227557.9226,235702.3941,241734.717,243479.161,243538.5716,246955.4575,253145.3576,258757.8919,262861.018,266208.9459,266743.6933,268080.5368,269318.4544,274242.5343,279483.7457,283653.5017,286209.9942,285853.4387,285621.8776,282441.1123,280697.7144,278212.5515,280567.0096,286017.53,289569.2162,291726.5429,290964.8985,292518.8418,293390.1743,293796.3082,292914.7086,291547.859,292777.2583,291723.498,291183.8394,290239.3313,294235.7909,294952.7444,295907.844,296423.96997,299648.48594,302605.91693,301113.5452,297180.8891,293838.6476,294064.7625,295498.2169,295092.0921,293889.3093,297426.4427,299421.2615,304778.0465,304579.0648,304514.9851,299771.2428,303055.4403,302697.2358,301412.6904,293603.0609,293815.8517,300526.2859,304555.5886,304923.5027,301702.4656,304852.1338,305012.3291,309560.1023,312739.9714,314920.3091,311911.2076,310454.0972,309571.3526,314030.5817,309540.9111,313791.2507,315039.4514,326713.3328,328530.925,330850.6123,333413.37454,336110.17562,335997.20854,332490.9095,335163.6297,344971.6741,348396.4143,350109.2815,349552.4486,351242.5951,354485.6669,354799.3903
3,Barnet,282333.5446,281120.306,281674.2983,283205.9287,286461.884,287725.1512,292435.4468,296104.3032,300380.688,299831.5042,300765.1589,304015.3406,306483.8527,309910.1005,310377.1106,313521.3411,318831.0313,323804.8081,331745.4981,334688.8139,340986.8763,342548.1264,345869.4739,344218.9493,344479.6519,339643.9882,335895.5389,333836.4619,338033.2354,340824.5093,337539.5622,329269.1455,320831.2692,318948.3977,314868.4423,306109.5582,294597.595,289250.816,288719.1159,286600.8284,288396.2791,291608.2134,301141.2374,305076.7195,310669.9497,309970.4798,310969.508,312235.4356,316925.7401,318994.9679,324873.2917,327955.2389,331167.9826,330965.2179,336379.5268,341812.0824,347747.2644,344009.8868,341701.5812,335004.3797,337574.8166,339623.2575,345257.6468,340441.2875,335304.6375,330258.5953,332255.2002,334216.4887,339125.1165,340673.1474,346352.9589,346652.9974,351280.0438,352047.7675,348611.0384,351150.0093,353468.9646,361667.2751,362335.2775,362585.603,367108.8731,366526.5859,365376.0502,361370.6666,362880.049,363063.8859,363754.3978,361906.9857,364636.9824,367753.9101,377519.9268,382032.2876,385304.3386,385628.5726,390597.6436,392168.3408,398384.3422,403841.9669,411452.6223,414854.6827,421202.9958,428806.1792,438504.7861,446442.7366,450728.3482,451041.4331,448523.4892,450576.6324,461382.523,471362.7058,473232.8038,472033.2355,466124.8157,473321.7598,470262.0407,478796.0601,484486.7667,492109.8499,499849.9525,501292.885,512166.3092,509863.3071,513342.2018,517408.2847,533675.7421,539830.2113,535272.2813,532357.9252,534921.1292,533792.7232,526421.5395,522223.273,532924.483,540501.1302,549401.1744,543698.9742,544993.9349,531344.3725,527928.414,526223.3496,537986.056,544090.0922,541562.5133,538717.7098,531832.1976,531736.2,538120.1199,541502.2221,533088.4241,524701.9934,523397.0496,533714.99143,534951.4102,537283.90346,535059.84324,533810.05363,528638.9614,523678.5865,516531.2233,512343.3437,503911.1858,512694.0604,514667.7638,528576.6123,526669.7755,525678.4213,530343.0902,522552.0582,521433.7527,516659.8837,522115.1532,526688.5215,526032.9436,518175.0457,523279.8903,529660.1524,533619.23,530353.5205,528816.4928,532528.0926,539455.5894,539249.6671,542160.0428,534687.3611,538012.4935,546800.5979,541711.0887,555310.727,554751.7729,568918.4141,572810.1795,574877.2915,576928.18826,571115.85272,573415.95151,579692.6666,582782.5567,588913.9018,590896.309,601505.3863,606057.9735,602165.8061,593702.626,597199.0461
4,Bexley,188012.9565,187235.5686,187449.8626,189193.9169,189826.5174,191156.222,189337.5476,193378.0406,194016.7524,196531.8763,196837.6711,198995.7507,199813.1401,199940.24,201598.5276,203223.7287,205848.2904,208174.1678,211318.4475,211461.6121,210592.8529,211456.8474,215171.0574,218431.5694,220085.5378,219349.4042,218909.0635,215953.7031,215616.2947,212632.1452,210799.7514,208152.2705,207084.4339,203008.1961,197920.2974,192879.1065,193104.7747,188784.7391,187076.4125,181653.2541,182455.3164,183343.6638,186840.7385,189656.958,191210.0942,193416.6041,194444.0317,196623.0854,197737.1877,201283.7195,202291.1054,202738.6568,199919.3636,199807.4879,200251.2402,201935.4161,202869.5256,200656.9182,200647.3686,200351.825,200374.3706,200398.9426,198333.4043,201058.6711,201338.2684,201072.7675,199899.3788,199485.3396,202298.2585,202907.0114,201377.4405,199523.2257,197426.9094,199185.8501,198638.0934,199592.7909,200115.6649,202550.3754,203974.1412,205196.5233,205409.4195,205919.0792,205592.1804,206956.1398,209191.5402,210775.7552,210529.6955,210863.9945,210206.4541,210388.3595,209984.3241,213353.6706,216048.0505,218834.4427,219390.5316,222076.321,224320.5222,226518.9976,227502.6174,232024.2412,236203.623,242494.5688,249852.9105,255182.9158,258619.3287,258267.3393,260538.6571,261987.5314,261751.2891,261295.727,261084.4354,261865.0402,264487.6563,267392.8612,275330.3955,280370.5885,286280.8571,286189.886,288718.2021,295744.4332,307550.1671,315289.3816,314140.4304,311888.6266,314430.7484,320635.6022,325380.5154,326877.5948,329408.0521,330193.7298,331942.7119,331024.545,330065.8494,328823.912,328858.1741,329046.2115,333651.4409,336979.5642,344041.4276,344516.6709,339807.8445,335705.4049,336238.7472,340598.3803,342095.7083,341254.3822,339631.6188,338476.3918,336410.0273,341480.0567,345692.8284,347531.06171,346150.76571,344680.66219,344172.2978,343667.46694,338707.822,339186.1492,336679.6447,339330.1231,336980.5882,339323.7005,338346.4036,337522.5984,333339.9516,332919.6691,333170.1454,338347.0579,336780.1407,339025.5609,339182.1484,341552.8296,339353.0015,340893.0807,344091.2308,346679.9244,345061.4945,345404.9836,346252.9145,352260.8385,355867.1951,358117.8551,358856.0373,358992.3573,359007.4517,362288.0473,365739.6515,370500.4357,371845.6682,374878.1357,377659.1213,378364.5877,380583.39206,382301.31592,385473.18358,383803.788,385268.5269,389047.2309,394752.12,400930.044,404308.03,409127.1711,407337.3436,408227.2906
5,Brent,247765.9162,246054.9316,246766.2836,246980.2997,249085.8169,252877.368,254617.2415,254296.853,254398.7895,260293.884,261574.4502,264329.4201,263524.2105,271085.9243,273225.5559,278703.1942,279638.0626,286921.3891,294878.1491,298465.3736,302370.7612,298208.4142,299352.5354,297570.5947,300894.7454,300461.7015,299019.5079,296953.5196,297339.1499,297161.4721,300838.7923,295776.408,294672.9322,283265.372,277452.9877,269258.4024,260420.8394,263885.9582,265889.023,269541.7267,261460.299,263297.2196,258775.8429,262862.7268,258998.8776,266585.7155,268663.1907,272443.171,273217.8441,277315.2298,282686.261,287901.9025,289076.0481,287809.2536,290683.3483,296378.4001,299864.3572,298962.5587,296775.7458,294081.4585,292494.4033,289551.0011,291692.4076,295596.3859,299163.6804,298660.1289,299866.138,301267.8594,306604.3592,304678.1977,306240.4863,301759.5506,309544.9722,305248.2816,305559.6467,297524.7271,301924.0204,312586.0413,323765.2127,333734.1181,323625.2472,319366.7114,314303.5789,322170.5341,325755.6313,323824.7403,323030.7399,326443.5719,328625.3464,334340.7037,336231.8464,347721.2919,353281.7489,355724.5597,361040.9223,359846.2552,365189.8763,364592.3462,367413.8312,379175.2901,391225.2197,400902.2999,404163.5598,406619.2377,414027.8273,410328.4753,412968.7306,419643.0926,422944.0546,420874.3522,423953.6453,429920.9624,440208.6091,435950.5965,438513.3086,443363.3988,449822.9506,461859.579,455424.881,468583.6465,469515.9373,482554.9295,473554.2231,485098.5522,488299.2053,493629.2379,494640.6856,489421.4344,499182.3752,504664.6059,502654.1429,490417.6911,472372.9446,475607.9302,484943.9761,488416.2237,490061.5585,492334.7972,491003.2615,498192.1752,490673.1251,489039.0375,485284.8591,494515.1638,493882.3539,493621.0905,482967.3725,485433.9007,480836.4803,492743.2083,505027.7244,519753.71247,510929.80279,493489.47861,479103.683,476355.64756,479105.7131,478494.2101,475429.6451,486252.778,481803.4178,474820.9106,473849.0416,488784.3601,501532.5994,494770.2634,435980.5494,425957.8076,428085.2389,468310.655,466249.9601,470601.3935,482808.0821,484159.9118,482303.0931,497729.0327,519561.8277,522239.3216,513100.814,495066.6459,514041.2521,506770.0707,513100.3239,493681.5808,507153.3694,514004.8962,525506.2081,519287.4351,517734.2015,512019.2975,519123.411,522416.266,516377.93398,513112.38222,508995.81868,518865.824,529981.8582,534686.4918,551947.0216,561214.2226,580359.8804,572148.3116,562592.5366,549438.9525
6,Bromley,240254.6582,241717.779,243140.6832,243914.4217,244570.8703,247109.2756,249778.0767,253405.5732,254675.977,257318.8028,258908.006,261506.1869,261809.1877,263863.9498,264642.3002,269444.6848,271767.7089,275274.2393,278325.2154,282065.8177,285815.652,288142.6816,291784.1554,293823.8179,293098.2897,290151.4074,286080.1591,284104.5491,283806.9004,282385.6163,280338.3142,275719.531,271187.0456,266247.3055,262053.8875,257557.2485,255176.9856,249378.4292,245444.3693,241375.7771,242634.5671,246415.8671,248500.2276,248667.0492,251137.4092,254477.6638,257048.337,258655.3384,260713.9077,263217.1916,264768.6513,266896.8494,270819.9545,272609.1898,273808.0264,276104.1095,276889.7003,276380.4085,275527.5068,274853.1469,275141.237,271383.5186,270665.9452,271214.171,276407.609,275253.9406,275526.4353,272637.2734,276108.1099,277282.4452,278025.1049,278849.1468,276024.9546,278473.7803,276013.7522,277342.0915,277755.8869,281963.1425,284387.0125,286912.3322,284966.7789,286087.1912,285691.5781,288681.6021,286846.4804,285701.4479,284151.2741,287189.8427,289505.6325,294242.9988,297144.6569,301768.8185,303568.9759,306432.5866,309175.6984,314302.036,315709.3226,318485.7007,319079.1857,327862.6399,336865.8043,347890.7369,357091.8922,362180.6246,369783.8866,372018.2042,374419.7189,372899.2626,372855.5791,370457.5953,369932.2982,370450.3482,377117.7311,382265.8058,384312.6206,389249.1618,393831.109,401827.0152,404754.4168,411123.7202,413460.181,416896.6512,418642.4073,422300.9495,425209.767,432272.3986,439330.9601,443017.5731,438326.8421,430089.5745,427362.8268,429187.3086,436538.1435,436074.7032,435582.1075,435136.9831,440151.598,443763.081,445257.6659,444116.7403,443953.3037,443293.8526,445251.0522,445503.7924,446736.5839,445944.3243,441430.1763,440858.6152,437880.0062,436970.9965,440996.4364,444572.79494,449292.94154,447534.11108,445563.04402,443139.79724,440623.5669,439716.3247,435996.2994,431643.364,428092.8974,430001.8857,434256.6273,442189.465,441057.5009,439178.3963,436680.2513,438397.3308,434196.5269,433715.739,432310.4616,433425.5056,425299.7024,425444.1926,428557.2475,433422.5529,435059.5551,437146.4066,445154.9752,453388.6856,456478.7233,452733.1199,453170.9562,455807.4644,460556.0118,467240.0565,469521.1166,471441.124,471613.7586,474873.999,479552.5745,478676.0234,474593.1827,478450.30679,480489.99996,485537.9116,491508.6957,501435.6904,504853.4102,510180.196,512062.7635,516601.3391,515823.3266,515270.0553
7,Camden,368709.6304,373670.358,377339.5567,382932.5242,389595.8246,392849.1822,400432.1312,406665.7047,406025.0046,403221.36,407616.5589,428774.579,433900.9141,441610.7074,439974.0467,451966.0188,441267.0513,454121.4126,466113.8326,490494.2129,499913.3177,500648.1992,495248.8868,482569.1087,486659.1965,505471.8776,510058.9278,510071.8046,505894.1852,506170.5688,521991.5375,525295.7486,515019.2771,498393.876,472362.173,457289.6641,446897.3071,453141.3491,465563.4628,451643.0477,442605.8392,434898.146,451203.7265,467171.4074,475211.4832,471297.8572,449490.1547,446413.1187,454547.2348,480597.7998,498892.6368,499766.6666,490244.364,492592.4995,524202.1832,549962.7657,550372.014,540611.8273,532976.0962,543887.4655,540301.4569,542726.1523,547548.6308,556408.6407,544622.4803,545294.1605,547387.3548,563689.7978,576481.5343,573534.9018,567063.9128,547656.5284,548416.0904,550840.9932,568978.9269,574961.7721,575995.9549,575349.5178,600405.7996,614424.3841,613483.0375,594506.0161,596278.1276,620350.6021,627541.2251,651997.8266,635099.0387,649539.962,651476.1771,671438.8842,685330.0986,707358.9594,705754.8305,689918.2985,662700.525,671214.8792,695470.3561,719848.4301,720064.3028,728941.979,746937.8933,769628.4425,787361.4054,794040.1148,803461.1508,780637.7022,769851.988,761593.9064,769724.2275,769170.8259,756915.0468,749621.2962,745684.3993,770153.9525,793213.0588,819743.8041,833333.9165,828315.7721,816647.7453,796767.1498,808530.5297,827590.4437,854686.0402,838254.4979,807400.7377,770905.2039,753956.3524,769511.5133,786865.5773,805146.4193,830454.508,832125.7201,856070.2412,824402.8521,813907.1239,799225.9803,815493.7205,843238.7194,865076.2333,864580.1303,864602.9182,834802.319,846353.7892,844415.6871,859592.5076,875078.3856,853395.7336,866438.0526,837927.5068,850612.5561,837711.7532,827363.20023,817464.41816,808320.9911,807224.55323,867795.25411,867808.2909,864013.6218,808859.9893,820812.0189,838678.634,871957.4503,890288.4056,863170.6139,838169.607,804713.1225,833740.318,814591.1638,828578.3598,819659.3289,854442.8508,862076.7854,855338.2868,837718.8375,807904.3593,824742.2295,839031.823,827264.235,815442.5796,786159.1736,799564.7678,795318.0201,805320.6165,810041.504,821255.3912,812855.6716,872821.0937,872472.8605,872299.7419,827238.8073,859588.747,884055.4369,871941.33935,867680.8082,881732.52122,876916.7652,856193.6191,839331.5905,847923.7644,861447.7882,861312.601,850555.646,840398.4096,845577.3306
8,Croydon,204536.277,207312.2851,208650.3412,209106.4866,208379.6343,209864.5682,212185.2833,214493.4089,216164.6528,216698.7593,218396.0929,219548.2502,222690.5291,223464.2416,225719.6959,226609.5228,228083.6014,230188.7112,233834.6921,238535.9386,240249.2005,242724.7268,244209.2997,247676.9584,248004.8373,246977.4424,245127.8319,243468.0483,242413.7902,239830.416,237926.2855,238642.0394,233163.3383,226844.3537,216987.7654,212597.0779,207071.7764,204910.5765,202464.4928,202636.9482,200479.0472,199415.0722,200102.6385,201442.2592,203916.7196,205122.603,206570.9013,210343.3871,211896.3395,217606.6096,219480.5191,222847.4621,220281.0005,219296.6976,217831.6049,219853.5433,220916.6334,220972.9903,217847.6314,214845.1783,213989.9794,214080.7076,213550.9557,213974.7476,213418.5596,214113.7036,215233.1412,215870.2073,217591.2527,216699.3885,218799.356,217808.9162,217208.7048,217908.2654,218199.0716,221231.914,221817.0734,223322.6619,222293.3586,222026.3313,223035.9157,223602.3349,224418.1407,226742.0544,225826.4342,224198.9624,223504.1387,224769.2888,230346.19,234713.3603,238169.6933,240105.5443,240105.5272,242224.243,243100.1861,246214.9853,249311.3596,253191.6215,257225.1767,265666.8718,271043.7154,274343.5467,276361.2844,283801.4117,290460.1832,294573.9274,291729.8111,290220.0717,288818.9379,290154.7305,292749.9962,295858.8396,297564.9698,299875.9032,306205.7251,313111.7287,320175.4286,323263.0946,326503.8956,330485.7034,332811.4907,337821.4975,342037.5089,348189.697,352807.7327,358488.4569,363898.4805,369721.8023,369069.4833,368082.0015,363662.2458,363571.3149,363241.1031,367221.2315,368767.4538,369561.6024,368801.407,373121.7975,377037.8693,378273.224,378859.2622,375688.1054,375639.9009,374440.8529,372312.1277,371040.2882,366045.158,368281.4258,370540.7385,373885.7195,374361.1605,372035.48075,371792.94143,370363.35422,368735.29039,364188.83485,365096.0603,364405.5423,367440.2781,363627.4384,364097.3147,363420.0875,365874.7819,364540.2452,365225.8121,364412.8327,368137.2954,371862.8595,372872.0078,372861.5413,371006.7837,370031.6225,373805.0976,372413.7578,377278.4015,374029.6601,377322.4452,376775.3407,381291.8052,380132.1469,380999.5047,383397.6647,390487.3867,393782.8739,393857.8728,394957.0341,393695.5284,396511.5119,397651.4195,403485.9337,405719.3912,407217.0183,402465.7494,404395.17739,408944.76507,411402.8989,413280.0608,412560.4576,417743.7989,424342.5705,431380.4029,431982.3891,430289.6512,428721.8133
9,Ealing,247593.5017,251238.8236,250284.2467,251678.6762,255037.5534,259625.2827,261997.3831,265047.0772,269299.0222,270344.8591,269520.0019,270807.8666,273568.7341,279642.8321,282096.9249,286145.7196,286841.5892,289264.4113,295485.5617,300585.684,305954.8785,307578.793,309936.1173,308302.6206,310173.4979,305649.0835,307788.0693,300884.2126,304014.3475,299363.0508,297370.454,293302.5151,293398.639,286905.887,279322.4609,265723.0938,257539.0016,253953.1747,251129.6137,250917.2259,251076.7389,255022.1945,263723.6066,268788.1258,277405.5965,280528.9386,278843.4702,279574.5286,283234.0258,287882.1338,288740.4435,285639.0083,286725.8323,287129.5617,293317.7372,298160.9997,301224.7724,302709.904,299905.6598,299237.5254,299149.9627,301737.8862,299740.1572,300859.4232,298099.0507,302246.8435,303832.3084,307330.9602,307753.7937,304245.6727,299592.3723,303094.5273,304690.1344,308314.5787,305322.872,304805.4124,310930.8972,321733.9016,329311.633,330625.6299,326082.5019,325861.68,329404.4957,327287.6027,325025.328,322278.0703,321594.3845,328638.9615,331102.6623,340097.3291,344200.1708,347294.0791,348838.8038,345781.0003,349247.3872,352969.4208,364513.952,370619.7244,377756.2943,384904.4798,395085.3186,405195.8819,413032.4816,422701.3382,423807.9083,416777.4418,413241.8697,412835.2905,412383.3605,412001.7402,411635.555,418825.6557,422372.2852,430233.5018,439528.537,445828.6824,453922.6484,462653.4854,474405.3896,475935.3957,470506.9318,471280.2669,473104.9066,477227.0033,469889.9263,477207.4558,478452.8039,483847.0757,477486.2962,477265.7847,475630.1694,485390.2271,489364.2688,489687.3679,485942.1113,482245.2025,486263.2712,483875.3269,489317.9552,488418.2388,489067.8131,482446.5122,479332.2305,469145.6915,473630.8021,476730.5694,483878.0948,481101.1892,473140.4092,476827.6945,478375.6709,485596.16581,485266.17726,481233.31722,482904.5659,481921.87844,483335.7786,476647.5977,467017.2121,461457.9551,465752.3855,474844.3044,475591.7986,474627.2689,473161.8767,477369.1395,472582.527,469056.7913,467419.1885,467257.7804,480329.6438,480314.0318,473283.004,463423.6569,466117.1379,483810.1893,490927.7747,492155.7477,495013.8996,495499.091,499133.4057,497788.7122,501981.8756,498632.2873,496875.5899,499212.1924,507124.9053,514378.2719,512025.4207,516798.386,515562.9099,515679.4044,516289.35268,516778.57079,514786.12575,511510.1446,515052.9702,524314.0062,534578.3471,537694.5852,540072.4799,536557.8112,537426.6113,538217.7627
10,Enfield,214068.5149,213136.3934,212403.88,214322.5771,215853.2579,218910.3301,220262.2386,222089.9801,224114.3337,225896.7068,226399.669,227042.2708,228591.3851,230985.8666,232000.1752,233559.1075,235672.3391,241066.3025,248177.9541,254281.3043,256719.4379,255341.2918,255009.626,255537.095,256572.2193,257164.2041,254573.4008,254069.264,252870.9757,251090.6145,249163.7309,243579.9595,240810.3959,236344.9187,228803.7974,225028.5165,218633.8901,219315.5348,214101.1304,214280.5849,213526.9021,220341.977,222874.0282,227007.9934,226747.7771,228464.9723,228971.0895,229651.6896,232751.7451,236894.225,239223.9246,239050.8969,238993.8109,242127.8315,245935.444,248091.4631,246254.2375,245078.4748,244642.4848,246485.5606,246395.7905,243641.0364,240270.9694,238130.9451,234490.3146,234801.7271,236704.6445,243948.6721,246731.3027,246757.3598,246151.9093,245870.4032,245201.1448,241211.2735,238118.6415,238950.579,241600.6778,246588.976,247629.7994,252055.0069,254221.9136,255359.3886,256116.6616,254951.718,257976.8103,254621.1461,255208.0407,250979.0876,253467.0424,255050.6014,260419.9851,266534.5984,268408.3403,271405.9722,270459.5672,274721.0787,273452.4453,275164.2334,276980.4296,281240.7207,285433.1038,289656.559,297079.7883,304944.4489,308965.4661,312717.4077,313472.211,315082.705,316066.3816,316689.5363,319393.4596,321755.8421,324720.6986,328529.8771,335380.8147,344108.6947,350229.6888,353796.8716,355745.5963,359624.5355,364188.6829,367809.425,372205.1237,378214.8398,382086.3437,384296.6595,387870.0456,394132.176,401714.3992,400662.3593,398232.5989,394465.0119,391874.3239,386269.6582,383141.9563,389127.5967,396608.2496,401482.8829,403277.739,403221.7048,404393.322,398915.2039,397553.3948,395284.0873,395037.614,397704.157,397593.4689,396942.4728,398208.0243,396699.7992,397849.4057,395213.31962,394729.20445,397497.68782,394431.87299,397673.58684,395616.1766,397254.1728,393925.7137,393880.4735,388590.8834,390707.6753,388053.4705,393032.6376,386806.0139,392720.5377,392572.6259,398928.1678,389479.6677,389690.7505,392339.3917,395239.865,391460.2968,385347.4851,386064.7204,397144.6805,399741.7122,406689.2705,405834.8632,412872.2663,417033.642,420565.5312,422285.2231,420527.4067,416529.4126,419479.4825,418889.2319,426401.1769,428052.4781,433224.5926,432511.6755,432685.8242,432461.74366,432561.71453,434640.238,440256.2862,446536.9514,446273.6223,447701.1189,451227.8164,454981.3506,461814.3191,460774.8231,461241.2577
